Country	Measure	Frequency	Transaction	Time	Value  Flags
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Gross domestic product (output approach)"	"2011"	983467.98751481  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Gross domestic product (output approach)"	"2012"	1027058.94395691  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Taxes less subsidies on products"	"2011"	61829.1209972782  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Taxes less subsidies on products"	"2012"	66258.7963717311  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Statistical discrepancy"	"2011"	0  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Statistical discrepancy"	"2012"	-103.302551025372  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Agriculture, forestry and fishing (ISIC rev4)"	"2011"	22318.8918153554  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Agriculture, forestry and fishing (ISIC rev4)"	"2012"	23084.4066637743  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Industry, including energy (ISIC rev4)"	"2011"	183328.601684149  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Industry, including energy (ISIC rev4)"	"2012"	180938.806791407  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Construction (ISIC rev4)"	"2011"	75963.6470578374  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Construction (ISIC rev4)"	"2012"	79393.0743135387  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)"	"2011"	155320.956894893  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)"	"2012"	161585.445205843  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Information and communication (ISIC rev4)"	"2011"	27880.5809722493  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Information and communication (ISIC rev4)"	"2012"	28470.9932786789  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Financial and insurance activities (ISIC rev4)"	"2011"	77863.6481965145  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Financial and insurance activities (ISIC rev4)"	"2012"	83516.3990136167  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Real estate activities (ISIC rev4)"	"2011"	104476.899952265  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Real estate activities (ISIC rev4)"	"2012"	111260.898534758  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)"	"2011"	92551.4312936234  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)"	"2012"	99246.0691524278  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Public admin.; compulsory s.s.; education; human health (ISIC rev4)"	"2011"	155713.398788044  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Public admin.; compulsory s.s.; education; human health (ISIC rev4)"	"2012"	166952.451598658  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Other service activities (ISIC rev4)"	"2011"	26220.8098626003  
"Australia"	"US $, current prices, current PPPs, millions"	"Annual"	"Other service activities (ISIC rev4)"	"2012"	26454.905583504  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Gross domestic product (output approach)"	"2011"	360521.910252535  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Gross domestic product (output approach)"	"2012"	371948.279592264  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Gross domestic product (output approach)"	"2013"	378017.747612542  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Taxes less subsidies on products"	"2011"	34398.4139661196  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Taxes less subsidies on products"	"2012"	35640.7095292613  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Taxes less subsidies on products"	"2013"	36086.1109273103  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Agriculture, forestry and fishing (ISIC rev4)"	"2011"	5456.17027828603  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Agriculture, forestry and fishing (ISIC rev4)"	"2012"	5367.76433574171  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Agriculture, forestry and fishing (ISIC rev4)"	"2013"	5156.47396273344  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Industry, including energy (ISIC rev4)"	"2011"	72188.7024181703  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Industry, including energy (ISIC rev4)"	"2012"	73233.4741216987  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Industry, including energy (ISIC rev4)"	"2013"	74453.2107627451  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Construction (ISIC rev4)"	"2011"	21456.0514859821  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Construction (ISIC rev4)"	"2012"	22877.403144784  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Construction (ISIC rev4)"	"2013"	23550.4264777104  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)"	"2011"	73156.9777647553  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)"	"2012"	74965.5069161084  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)"	"2013"	74933.6637581513  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Information and communication (ISIC rev4)"	"2011"	10573.1704569564  
"Austria"	"US $, current prices, current PPPs, millions"	"Annual"	"Information and communication (ISIC rev4)"	"2012"	10895.4026758563  
