"Country","year","total","finance","ratio","rratio","color"
"Australia","Australia",2012,1027058.94395691,83516.3990136167,8.13160719791372,8.1,"a"
"Austria","Austria",2013,378017.747612542,17202.6709936496,4.55075749810611,4.6,"a"
"China","China",2012,12266154.7436034,818721.52881712,6.67463884102775,6.7,"a"
"European Union (28 countries)","European Union (28 countries)",2013,17408415.9324098,845290.820804673,4.85564467259177,4.9,"a"
"France","France",2013,2449991.38135772,108693.47039757,4.43648378621377,4.4,"a"
"Germany","Germany",2013,3504120.35260774,127590.121547319,3.64114552893046,3.6,"a"
"Ireland","Ireland",2012,201061.086689364,17096.1835247057,8.5029797690883,8.5,"a"
"Italy","Italy",2013,2070864.91260686,102977.301070356,4.97267110198537,5,"a"
"Japan","Japan",2012,4525753.61334916,205943.205624661,4.5504732077595,4.6,"a"
"Netherlands","Netherlands",2013,729714.667105464,57119.559859876,7.82765681364887,7.8,"a"
"Portugal","Portugal",2013,274234.904649016,13940.9857042324,5.08359274034609,5.1,"a"
"Spain","Spain",2013,1504499.5653666,53264.0272993251,3.54031523341426,3.5,"a"
"Switzerland","Switzerland",2012,425362.850864918,44746.6183770513,10.5196347744203,10.5,"b"
"United Kingdom","United Kingdom",2013,2326260.56158501,159133.604725088,6.84074722122536,6.8,"a"
