"INTERNATIONAL LABOUR ORGANIZATION Geneva"
"LABORSTA Labour Statistics Database"
"Copyright International Labour Organization 1998-2014"
""
"Selection:","Years: 2008-2008"
"","Country(ies): CH"
"","Group of topics: Main statistics (annual) "
"","Table: 2B Total employment, by economic activity (Thousands)"
"","Extracted on 28/05/2014"


COUNTRY,CODE COUNTRY,SOURCE,CODE SOURCE,SOURCE_ID,SUBJECT,CODE SUBJECT,TYPE OF DATA,CODE TYPE OF DATA,WORKER COVERAGE,CODE WORKER COVERAGE,SEX,CODE SEX,TABLE,CODE TABLE,CLASSIFICATION,CODE CLASSIFICATION,SUB-CLASSIFICATION,CODE SUB-CLASSIFICATION,D2008,NOTES,
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",4229,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A¬B","00A",171,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C¬E","03B",680,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",266,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",564,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",155,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",222,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",244,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",517,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L,Q","12C",219,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",343,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",540,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O¬P","15A",300,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",8,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",2289,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A¬B","00A",117,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C¬E","03B",494,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",235,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",278,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",64,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",159,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",142,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",315,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L,Q","12C",122,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
"Switzerland","CH","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",131,"Persons aged 15 years and over. Excluding armed forces and seasonal border workers. Second quarter. ",
