Countries,2008,2009,2010,2011
Albania,76.6671875,77.0033884,80.3760254,85.6689265
Algeria,,62.8921554,57.2878165,58.0928658
Argentina,33.5763196,33.8189069,35.3725352,34.1136735
Armenia,28.7042301,42.2059448,44.5640742,54.1408097
Australia,227.274172,210.8048492,212.3660587,209.9396263
Austria,374.9526493,373.0451832,341.7492006,335.9970775
Azerbaijan,25.5959559,32.7660351,31.2982456,28.4790988
Belarus,48.8322747,60.5893969,77.5414787,94.5764962
Belgium,358.3232563,331.6323924,318.6336258,324.6798581
Bosnia and Herzegovina,84.0695666,85.6849071,83.0457371,82.4987457
Brazil,,,,
Bulgaria,67.1538959,73.0743743,76.7379324,79.9003078
Canada,199.1144542,183.5321539,186.0611854,199.7207016
Chile,109.8625444,105.2733969,,
China,,,,
Colombia,51.7462463,53.2214225,,
Croatia,107.7693551,115.1208855,119.6008972,
Czech Republic,107.9243298,112.2377347,113.9546946,120.0042615
Denmark,269.7300929,259.4613304,237.8565069,249.8193711
Egypt,,,,
Estonia,136.1556135,155.0535181,142.1449866,119.2371829
European Union,,,,
Finland,201.6719422,220.1608956,,
France,358.476721,357.6877718,,
Georgia,46.4780885,46.1055575,50.928176,52.3298799
Germany,336.6104374,337.8444304,324.7016665,345.9334645
Ghana,,,,
Greece,198.1074706,213.1752527,231.8084752,228.6808179
Hungary,127.9972297,137.651387,131.0039139,127.9733469
Iceland,,,,
India,,,,
Indonesia,46.432118,45.1134383,46.5609924,
Iran,,,,
Ireland,903.3016594,838.1527194,761.7549715,
Israel,146.806217,142.0352538,,
Italy,217.3823207,226.3972065,,
Japan,160.9883745,177.6947638,181.0713008,191.5636393
Kazakhstan,74.064871,67.9536686,55.1510647,46.4889324
Kenya,,,,
Kyrgyzstan,29.2172883,33.7871822,26.5957172,24.4425376
Latvia,148.5943616,177.1012998,184.7159239,158.4443189
Lithuania,82.2057976,98.764373,93.6715369,80.4392204
Luxembourg,2492.707009,,,
Macedonia,60.8905223,65.3810953,71.8731081,73.6564524
Malaysia,171.8178685,198.2754198,193.3322418,201.2651956
Malta,244.023083,246.7987925,246.3932378,248.0678868
Mexico,45.1018184,48.2292278,,
Moldova,62.0884325,66.0518552,58.8012429,58.0570784
Mongolia,,,,
Montenegro,107.2393531,101.4771381,93.5318177,86.8790622
Morocco,,,,
Netherlands,503.7568905,461.958708,,
New Zealand,215.4195421,200.6046238,,
Nigeria,,,,
Norway,147.8201221,156.9393011,198.4721021,204.3874205
Pakistan,,,,
Peru,,,,
Philippines,61.0232075,64.7237428,63.7923837,63.4104692
Poland,81.469259,78.651367,81.8528993,84.9084517
Portugal,276.7768935,302.4983067,307.5439862,299.9279297
Romania,62.2954447,67.2096837,66.5731446,64.568142
Russia,64.8692835,69.9772839,69.2980991,71.3423144
Serbia,72.0169677,86.0991178,91.7855086,86.3639885
Singapore,,,,
Slovakia,93.9804406,84.4459072,85.7506715,83.4668415
Slovenia,142.9517805,161.1727409,164.1397235,162.8153933
South Africa,140.9289411,124.2450764,117.9118405,115.4407674
South Korea,158.3922172,150.7263252,,
Spain,284.6377235,297.9541248,,
Sweden,230.4557285,222.7177626,,
Switzerland,530.987636,469.9236046,471.7124849,482.5694268
Tajikistan,,,,
Thailand,3.646619,4.1218156,4.8539908,4.7286318
Turkey,77.0559828,87.5551403,91.6156253,93.8086924
Turkmenistan,,,,
Ukraine,97.49513,96.255819,86.9526866,80.0067624
United Kingdom,579.6704431,567.2176101,536.3686184,535.1261652
USA,103.6424061,101.5456834,82.4168932,84.1124446
Uzbekistan,,,,
Venezuela,,,,
Vietnam,,,,
World,,,,
