Countries,2008,2009,2010,2011
Albania,2944.992455,2885.984497,2973.247757,3258.909477
Algeria,,2511.215371,2613.320489,2948.74649
Argentina,2528.061831,2545.258215,3173.753605,3580.446134
Armenia,1083.522952,1140.631624,1391.230503,1726.86201
Australia,88051.4883,108891.1062,127345.8057,134972.1729
Austria,176999.5953,176495.9045,154797.4691,155471.7258
Azerbaijan,1459.015511,1622.620937,1835.326384,1976.931444
Belarus,3023.61461,3063.790591,4478.211618,3261.913566
Belgium,161302.5354,150020.7427,138191.6076,141224.3191
Bosnia and Herzegovina,3919.459468,4008.570931,3717.859832,3710.950615
Brazil,,,,
Bulgaria,4339.028713,4823.062834,4908.873757,5422.96727
Canada,78718.60739,78783.21972,89082.94869,97915.89687
Chile,9614.309898,11843.50647,,
China,,,,
Colombia,2453.830091,2879.562797,,
Croatia,15791.708,16784.59962,16024.78372,
Czech Republic,20748.3331,21889.71997,21964.43782,22347.94227
Denmark,161345.1277,150636.9909,135403.4268,140077.5827
Egypt,,,,
Estonia,23002.18074,22828.59309,20309.43628,18398.95341
European Union,120940.8416,122786.1548,117264.2149,119288.6894
Finland,98089.56832,101842.3004,,
France,149850.3193,149368.0415,,
Georgia,1213.784219,1108.653595,1337.442109,1699.048683
Germany,141157.3943,140378.1783,131513.7883,142118.6959
Ghana,,,,
Greece,57224.1138,62573.85477,60386.89429,54698.03087
Hungary,17790.62069,18690.52682,16844.72815,14883.90033
Iceland,,,,
India,,,,
Indonesia,863.5605814,1123.722846,1391.396584,
Iran,,,,
Ireland,511338.4775,432645.8845,352391.9504,
Israel,38438.5895,38375.26412,,
Italy,79655.84792,81920.10891,,
Japan,69593.86933,70465.99973,84304.02571,91153.64366
Kazakhstan,6275.264334,4840.501123,5001.528071,5213.066667
Kenya,,,,
Kyrgyzstan,261.1121378,285.8934702,228.4126438,261.5412449
Latvia,20924.68685,20763.00729,19783.50439,20187.96937
Lithuania,11026.53234,11235.12226,10438.72538,10562.43507
Luxembourg,2653517.135,,,
Macedonia,2800.184317,3063.8327,3161.725846,3368.006239
Malaysia,13902.38206,14705.07753,17686.16116,19405.50183
Malta,48149.56979,49813.8183,48441.80984,49454.67552
Mexico,3572.8071,3912.207999,,
Moldova,1055.23718,914.9539549,977.0364679,1142.053502
Mongolia,,,,
Montenegro,7337.031948,6880.232589,6146.002371,5760.111273
Morocco,,,,
Netherlands,253464.695,229593.511,,
New Zealand,54920.13306,63379.89419,,
Nigeria,,,,
Norway,113998.8705,132285.9674,175601.6804,187858.407
Pakistan,,,,
Peru,,,,
Philippines,1102.901506,1228.812534,1412.84083,1484.296139
Poland,9182.663728,9676.051149,10260.7736,9757.26472
Portugal,62373.54896,68707.52035,66241.21381,62936.91223
Romania,5052.550912,5205.521474,4979.699368,4959.877318
Russia,6415.3677,6371.313315,7199.850338,8479.452046
Serbia,4051.082164,4755.448674,4735.719661,4838.852508
Singapore,,,,
Slovakia,16172.27873,14025.72613,13775.91958,13839.78893
Slovenia,36697.27387,39989.32035,37652.62272,36637.33216
South Africa,6942.300125,8186.074381,9530.103522,8377.045946
South Korea,26370.18415,28185.14209,,
Spain,94602.34001,97487.37026,,
Sweden,101961.3867,103948.6227,,
Switzerland,368887.5522,325130.654,370720.6714,381244.1262
Tajikistan,,,,
Thailand,139.661493,162.449973,236.0591455,227.0224289
Turkey,6717.314622,7774.12437,8960.608819,8774.20821
Turkmenistan,,,,
Ukraine,2482.174468,2383.24438,2574.000911,2880.821799
United Kingdom,198296.1949,207758.2947,196973.7513,200602.4128
USA,48462.73291,46005.32441,38416.14174,40468.15149
Uzbekistan,,,,
Venezuela,,,,
Vietnam,,,,
World,,,,
