Rank,Bank,Country,"Total assets, US$b",Balance sheet
1,Industrial & Commercial Bank of China (ICBC),China,"3,181.88",03.31.2014
2,HSBC Holdings,UK,"2,758.45",03.31.2014
3,China Construction Bank Corporation,China,"2,602.54",03.31.2014
4,BNP Paribas,France,"2,589.19",03.31.2014
5,Mitsubishi UFJ Financial Group,Japan,"2,508.84",03.31.2014
6,JPMorgan Chase & Co,US,"2,476.99",03.31.2014
7,Agricultural Bank of China,China,"2,470.43",03.31.2014
8,Bank of China,China,"2,435.49",03.31.2014
9,Credit Agricole Group,France,"2,346.56",12.31.2013
10,Barclays PLC,UK,"2,266.82",03.31.2014
11,Deutsche Bank,Germany,"2,250.64",03.31.2014
12,Bank of America,US,"2,149.85",03.31.2014
13,Japan Post Bank,Japan,"1,968.27",03.31.2014
14,Citigroup Inc,US,"1,894.74",03.31.2014
15,Societe Generale,France,"1,740.75",03.31.2014
16,Mizuho Financial Group,Japan,"1,708.86",03.31.2014
17,Royal Bank of Scotland Group,UK,"1,703.96",03.31.2014
18,Banco Santander,Spain,"1,607.24",03.31.2014
19,Sumitomo Mitsui Financial Group,Japan,"1,569.99",03.31.2014
20,Groupe BPCE,France,"1,567.88",03.31.2014
21,Wells Fargo,US,"1,546.71",03.31.2014
22,Lloyds Banking Group,UK,"1,402.10",03.31.2014
23,China Development Bank,China,"1,320.18",12.31.2013
24,UniCredit S.p.A.,Italy,"1,157.41",03.31.2014
25,UBS AG,Switzerland,"1,107.95",03.31.2014
26,ING Bank N.V.,Netherlands,"1,107.00",03.31.2014
27,Credit Suisse Group,Switzerland,990.178,03.31.2014
28,Bank of Communications,China,964.071,03.31.2014
29,Rabobank Group,Netherlands,927.085,12.31.2013
30,Goldman Sachs Group,US,915.665,03.31.2014
31,Postal Savings Bank of China,China,899.681,12.31.2013
32,Credit Mutuel Group,France,887.31,12.31.2012
33,Nordea Bank,Sweden,875.183,03.31.2014
34,Intesa Sanpaolo,Italy,859.691,03.31.2014
35,Morgan Stanley,US,831.381,03.31.2014
36,BBVA,Spain,823.938,03.31.2014
37,Toronto-Dominion Bank,Canada,811.284,04.30.2014
38,Royal Bank of Canada,Canada,810.763,04.30.2014
39,Norinchukin Bank,Japan,808.091,03.31.2014
40,Commerzbank,Germany,789.734,03.31.2014
41,National Australia Bank,Australia,783.419,03.31.2014
42,Commonwealth Bank of Australia,Australia,724.42,12.31.2013
43,Bank of Nova Scotia,Canada,716.536,04.30.2014
44,China Merchants Bank,China,710.159,03.31.2014
45,Australia & New Zealand Banking Group,Australia,683.225,03.31.2014
46,Westpac Banking Corp,Australia,675.41,03.31.2014
47,Standard Chartered Plc,UK,674.38,12.31.2013
48,China CITIC Bank Corp,China,641.952,03.31.2014
49,KfW Group,Germany,638.099,03.31.2014
50,Industrial Bank Co. Ltd,China,611.581,03.31.2014
51,Danske Bank,Denmark,610.533,03.31.2014
52,Banco do Brasil SA,Brazil,607.227,03.31.2014
53,Shanghai Pudong Development Bank,China,603.093,03.31.2014
54,Sberbank Russia,Russia,537.519,03.31.2014
55,ABN AMRO Group NV,Netherlands,536.744,03.31.2014
