Bank,Country,Market cap
Wells Fargo & Co,US,261.72
JP Morgan Chase & Co,US,229.9
Industrial & Commercial Bank of China (ICBC),China,196.21
HSBC Holdings,UK,191.43
Bank of America,US,181.77
China Construction Bank,China,160.83
Citigroup Inc,US,144.63
Agricultural Bank of China,China,126.41
Bank of China,China,115.92
Commonwealth Bank of Australia,Australia,115.35
Banco Santander,Spain,110.57
Allied Irish Banks plc,Ireland,104.81
Westpac Banking Corporation,Australia,99.22
BNP Paribas,France,96.03
Royal Bank of Canada,Canada,95.18
Lloyds Banking Group,UK,90.92
Toronto-Dominion Bank,Canada,86.49
Australia and New Zealand Banking,Australia,83.25
Mitsubishi UFJ Financial Group,Japan,78.45
US Bancorp,US,78.11
UBS AG,Switzerland,78.06
National Australia Bank,Australia,75.47
Goldman Sachs Group,US,74.18
Bank of Nova Scotia,Canada,70.49
Itau Unibanco,Brazil,70.46
