Country,Measure,Frequency,Transaction,Time,Value,Flags
"Austria","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2012",307003.776,
"Austria","National currency, current prices, millions","Annual","Gross domestic product (output approach)","2013",313196.671234,
"Austria","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2012",307003.776,
"Austria","National currency, current prices, millions","Annual","Gross domestic product (expenditure approach)","2013",313196.671234,
"Austria","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2012",33433.846,
"Austria","National currency, current prices, millions","Annual","Taxes less subsidies on production and imports","2013",33823.029173,
"Austria","National currency, current prices, millions","Annual","Taxes less subsidies on products","2012",29417.618,
"Austria","National currency, current prices, millions","Annual","Taxes less subsidies on products","2013",29898.198938,
"Austria","National currency, current prices, millions","Annual","Statistical discrepancy","2012",126.823,
"Austria","National currency, current prices, millions","Annual","Statistical discrepancy","2013",27.203589,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure","2012",227381.429,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure","2013",231290.68,
"Austria","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2012",34539.475,
"Austria","National currency, current prices, millions","Annual","Individual consumption expenditure of general government","2013",35770.557,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of households","2012",164436.035,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of households","2013",167525.614,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2012",4583.721,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of non-profit institutions serving households","2013",4790.282,
"Austria","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2012",23822.198,
"Austria","National currency, current prices, millions","Annual","Collective consumption expenditure of general government","2013",23204.227,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2012",58361.673,
"Austria","National currency, current prices, millions","Annual","Final consumption expenditure of general government","2013",58974.784,
"Austria","National currency, current prices, millions","Annual","of which: Actual individual consumption","2012",203559.231,
"Austria","National currency, current prices, millions","Annual","of which: Actual individual consumption","2013",208086.453,
"Austria","National currency, current prices, millions","Annual","Gross capital formation","2012",69619.855,
"Austria","National currency, current prices, millions","Annual","Gross capital formation","2013",67330.329885,
"Austria","National currency, current prices, millions","Annual","Gross fixed capital formation","2012",65828.527,
"Austria","National currency, current prices, millions","Annual","Gross fixed capital formation","2013",66171.903364,
