"INTERNATIONAL LABOUR ORGANIZATION Geneva"
"LABORSTA Labour Statistics Database"
"Copyright International Labour Organization 1998-2014"
""
"Selection:","Years: 1999-2008"
"","Country(ies): AT BR CH CN DE EG FR GB HK IT JP LU NL PT RU SA SG US VG VI"
"","Group of topics: Main statistics (annual) "
"","Table: 2B Total employment, by economic activity (Thousands)"
"","Extracted on 12/05/2014"


COUNTRY,CODE COUNTRY,SOURCE,CODE SOURCE,SOURCE_ID,SUBJECT,CODE SUBJECT,TYPE OF DATA,CODE TYPE OF DATA,WORKER COVERAGE,CODE WORKER COVERAGE,SEX,CODE SEX,TABLE,CODE TABLE,CLASSIFICATION,CODE CLASSIFICATION,SUB-CLASSIFICATION,CODE SUB-CLASSIFICATION,D1999,D2000,D2001,D2002,D2003,D2004,D2005,D2006,D2007,D2008,NOTES,
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",3762.3,3776.5,3799.6,3835.7,3798.4,3744,3824.4,3928.3,4027.9,4089.986,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",230.3,217.7,215.1,214.6,210.1,187.3,210.3,216.7,230.7,227.284,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",0.3,0.3,0.1,0.7,0.8,1.2,0.1,0.2,0.6,0.871,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",11.2,9.6,9.5,8.3,6.1,8.6,8.6,9.8,8.8,10.64,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",763.3,763.9,746.3,747.1,734.3,695.5,699.9,741.5,730.5,694.82,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",31.2,29.9,31.5,35.2,34.8,28.1,31.2,31.3,30.1,25.581,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",336.4,339.3,339.5,338,338.6,304,313.6,323.7,329.1,332.025,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",592.8,593.7,602.7,601.2,594.6,592.8,593.5,610.8,645.6,663.839,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",212.2,214,207.8,217.7,217.7,227,244.2,242.6,258.6,251.086,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",254.4,245.6,254.9,251.8,238.2,238.3,241.3,241.8,243.2,244.856,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",141.8,138.5,132.4,132.8,131.8,140.2,143.5,133.1,135.1,142.475,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",240.6,269.4,293.2,303.4,308.1,327.2,334,350.7,363.3,398.392,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",247.7,253,258.3,248.4,237.2,254.1,238.6,253,275.4,278.323,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",220.2,225.5,224.5,230.1,230.7,210.1,221.9,222.2,211.6,229.5,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",301.3,299.9,310.6,327.3,327.7,325.8,349.6,347.8,347.3,364.854,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",161.6,159.4,156,162.2,169.4,187.2,175.4,186.9,202.9,206.625,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",12.3,11.8,12.6,13.4,13.6,8.5,9.6,10,8.8,11.665,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",4.8,5,4.6,3.5,4.6,8.1,8.2,6.1,6.3,7.15,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",2139.7,2145.6,2142.5,2139,2101.8,2061.5,2095.2,2147.5,2208.5,2222.09656999997,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",119.8,118.1,113.8,113.8,111.8,98.9,114.2,116.1,123.5,123.193,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",0.2,0.1,0.1,0.4,0.7,,0.1,0.2,0.3,0.6003,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",9.9,8.7,8.6,7.5,5.3,7.6,7.4,8.4,7.5,8.353,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",564.4,566.3,553.9,558.3,546,513.3,520.2,546.5,543.1,515.768,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
